Q9NPB9	Cell membrane;Disulfide bond;Endosome;G-protein coupled receptor;Glycoprotein;Membrane;Phosphoprotein;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix
P31937	3D-structure;Acetylation;Branched-chain amino acid catabolism;Direct protein sequencing;Mitochondrion;NAD;Oxidoreductase;Reference proteome;Transit peptide
P61981	3D-structure;Acetylation;Cytoplasm;Direct protein sequencing;Disease mutation;Epilepsy;Phosphoprotein;Reference proteome
O94805	Chromatin regulator;Direct protein sequencing;Disease mutation;Epilepsy;Mental retardation;Neurogenesis;Nucleus;Reference proteome;Transcription;Transcription regulation
P00325	3D-structure;Acetylation;Alternative splicing;Cytoplasm;Direct protein sequencing;Metal-binding;NAD;Oxidoreductase;Phosphoprotein;Polymorphism;Reference proteome;Zinc
P29274	3D-structure;Cell membrane;Disulfide bond;G-protein coupled receptor;Glycoprotein;Membrane;Polymorphism;Receptor;Reference proteome;Transducer;Transmembrane;Transmembrane helix;Ubl conjugation
P52594	3D-structure;Alternative splicing;Cytoplasmic vesicle;DNA-binding;Developmental protein;Differentiation;Glycoprotein;Metal-binding;Nucleus;Phosphoprotein;Reference proteome;Repeat;Spermatogenesis;Transport;Zinc;Zinc-finger;mRNA transport
Q9UKV8	3D-structure;Alternative splicing;Cytoplasm;Endonuclease;Hydrolase;Hydroxylation;Magnesium;Manganese;Metal-binding;Nitration;Nuclease;Nucleus;Phosphoprotein;RNA-binding;RNA-mediated gene silencing;Reference proteome;Repressor;Ribonucleoprotein;Transcription;Transcription regulation;Translation regulation
Q8NFM4	ATP-binding;Alternative splicing;Cell membrane;Cytoplasm;Glycoprotein;Lyase;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Reference proteome;Repeat;Transmembrane;Transmembrane helix;cAMP biosynthesis
Q8TD06	3D-structure;Direct protein sequencing;Endoplasmic reticulum;Reference proteome;Signal
Q9BVK2	Alternative splicing;Congenital disorder of glycosylation;Disease mutation;Endoplasmic reticulum;Glycosyltransferase;Membrane;Polymorphism;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q8N8V4	ANK repeat;Cell projection;Coiled coil;Differentiation;Phosphoprotein;Reference proteome;Repeat
Q12955	3D-structure;ANK repeat;Alternative splicing;Autism spectrum disorder;Cell junction;Cell membrane;Cell projection;Cytoplasm;Cytoskeleton;Golgi apparatus;Lysosome;Membrane;Mental retardation;Phosphoprotein;Polymorphism;Postsynaptic cell membrane;Reference proteome;Repeat;Synapse
Q9HCJ1	Alternative splicing;Deafness;Disease mutation;Membrane;Phosphate transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
